hash_oligo	hash_plate	cell_line	treatment	dose	replicate
plate5_H11	5	U87MG	vehicle	0	replicate_2
plate5_A12	5	U87MG	lapatinib	10	replicate_2
plate5_B12	5	U87MG	lapatinib	10	replicate_2
plate5_C12	5	U87MG	lapatinib	10	replicate_2
plate5_D12	5	U87MG	lapatinib	10	replicate_2
plate5_E12	5	U87MG	lapatinib	1	replicate_2
plate5_F12	5	U87MG	lapatinib	1	replicate_2
plate5_G12	5	U87MG	lapatinib	1	replicate_2
plate5_H12	5	U87MG	vehicle	0	replicate_2
plate6_A1	6	U87MG	nintedanib	10	replicate_2
plate6_B1	6	U87MG	nintedanib	10	replicate_2
plate6_C1	6	U87MG	nintedanib	10	replicate_2
plate6_D1	6	U87MG	nintedanib	10	replicate_2
plate6_E1	6	U87MG	nintedanib	1	replicate_2
plate6_F1	6	U87MG	nintedanib	1	replicate_2
plate6_G1	6	U87MG	nintedanib	1	replicate_2
plate6_H1	6	U87MG	vehicle	0	replicate_2
plate6_A2	6	U87MG	nintedanib	10	replicate_2
plate6_B2	6	U87MG	nintedanib	10	replicate_2
plate6_C2	6	U87MG	nintedanib	10	replicate_2
plate6_D2	6	U87MG	nintedanib	10	replicate_2
plate6_E2	6	U87MG	nintedanib	1	replicate_2
plate6_F2	6	U87MG	nintedanib	1	replicate_2
plate6_G2	6	U87MG	nintedanib	1	replicate_2
plate6_H2	6	U87MG	vehicle	0	replicate_2
plate6_A3	6	U87MG	nintedanib	10	replicate_2
plate6_B3	6	U87MG	nintedanib	10	replicate_2
plate6_C3	6	U87MG	nintedanib	10	replicate_2
plate6_D3	6	U87MG	nintedanib	10	replicate_2
plate6_E3	6	U87MG	nintedanib	1	replicate_2
plate6_F3	6	U87MG	nintedanib	1	replicate_2
plate6_G3	6	U87MG	nintedanib	1	replicate_2
plate6_H3	6	U87MG	vehicle	0	replicate_2
plate6_A4	6	U87MG	nintedanib	10	replicate_2
plate6_B4	6	U87MG	nintedanib	10	replicate_2
plate6_C4	6	U87MG	nintedanib	10	replicate_2
plate6_D4	6	U87MG	nintedanib	10	replicate_2
plate6_E4	6	U87MG	nintedanib	1	replicate_2
plate6_F4	6	U87MG	nintedanib	1	replicate_2
plate6_G4	6	U87MG	nintedanib	1	replicate_2
plate6_H4	6	U87MG	vehicle	0	replicate_2
plate6_A5	6	U87MG	nintedanib	10	replicate_2
plate6_B5	6	U87MG	nintedanib	10	replicate_2
plate6_C5	6	U87MG	nintedanib	10	replicate_2
plate6_D5	6	U87MG	nintedanib	10	replicate_2
plate6_E5	6	U87MG	nintedanib	1	replicate_2
plate6_F5	6	U87MG	nintedanib	1	replicate_2
plate6_G5	6	U87MG	nintedanib	1	replicate_2
plate6_H5	6	U87MG	vehicle	0	replicate_2
plate6_A6	6	U87MG	nintedanib	10	replicate_2
plate6_B6	6	U87MG	nintedanib	10	replicate_2
plate6_C6	6	U87MG	nintedanib	10	replicate_2
plate6_D6	6	U87MG	nintedanib	10	replicate_2
plate6_E6	6	U87MG	nintedanib	1	replicate_2
plate6_F6	6	U87MG	nintedanib	1	replicate_2
plate6_G6	6	U87MG	nintedanib	1	replicate_2
plate6_H6	6	U87MG	vehicle	0	replicate_2
plate6_A7	6	U87MG	nintedanib	10	replicate_2
plate6_B7	6	U87MG	nintedanib	10	replicate_2
plate6_C7	6	U87MG	nintedanib	10	replicate_2
plate6_D7	6	U87MG	nintedanib	10	replicate_2
plate6_E7	6	U87MG	nintedanib	1	replicate_2
plate6_F7	6	U87MG	nintedanib	1	replicate_2
plate6_G7	6	U87MG	nintedanib	1	replicate_2
plate6_H7	6	U87MG	vehicle	0	replicate_2
plate6_A8	6	U87MG	nintedanib	10	replicate_2
plate6_B8	6	U87MG	nintedanib	10	replicate_2
plate6_C8	6	U87MG	nintedanib	10	replicate_2
plate6_D8	6	U87MG	nintedanib	10	replicate_2
plate6_E8	6	U87MG	nintedanib	1	replicate_2
plate6_F8	6	U87MG	nintedanib	1	replicate_2
plate6_G8	6	U87MG	nintedanib	1	replicate_2
plate6_H8	6	U87MG	vehicle	0	replicate_2
plate6_A9	6	U87MG	nintedanib	10	replicate_2
plate6_B9	6	U87MG	nintedanib	10	replicate_2
plate6_C9	6	U87MG	nintedanib	10	replicate_2
plate6_D9	6	U87MG	nintedanib	10	replicate_2
plate6_E9	6	U87MG	nintedanib	1	replicate_2
plate6_F9	6	U87MG	nintedanib	1	replicate_2
plate6_G9	6	U87MG	nintedanib	1	replicate_2
plate6_H9	6	U87MG	vehicle	0	replicate_2
plate6_A10	6	U87MG	nintedanib	10	replicate_2
plate6_B10	6	U87MG	nintedanib	10	replicate_2
plate6_C10	6	U87MG	nintedanib	10	replicate_2
plate6_D10	6	U87MG	nintedanib	10	replicate_2
plate6_E10	6	U87MG	nintedanib	1	replicate_2
plate6_F10	6	U87MG	nintedanib	1	replicate_2
plate6_G10	6	U87MG	nintedanib	1	replicate_2
plate6_H10	6	U87MG	vehicle	0	replicate_2
plate6_A11	6	U87MG	nintedanib	10	replicate_2
plate6_B11	6	U87MG	nintedanib	10	replicate_2
plate6_C11	6	U87MG	nintedanib	10	replicate_2
plate6_D11	6	U87MG	nintedanib	10	replicate_2
plate6_E11	6	U87MG	nintedanib	1	replicate_2
plate6_F11	6	U87MG	nintedanib	1	replicate_2
plate6_G11	6	U87MG	nintedanib	1	replicate_2
plate6_H11	6	U87MG	vehicle	0	replicate_2
plate6_A12	6	U87MG	nintedanib	10	replicate_2
plate6_B12	6	U87MG	nintedanib	10	replicate_2
plate6_C12	6	U87MG	nintedanib	10	replicate_2
plate6_D12	6	U87MG	nintedanib	10	replicate_2
plate6_E12	6	U87MG	nintedanib	1	replicate_2
plate6_F12	6	U87MG	nintedanib	1	replicate_2
plate6_G12	6	U87MG	nintedanib	1	replicate_2
plate6_H12	6	U87MG	vehicle	0	replicate_2
plate8_A1	8	U87MG	trametinib	10	replicate_2
plate8_B1	8	U87MG	trametinib	10	replicate_2
plate8_C1	8	U87MG	trametinib	10	replicate_2
plate8_D1	8	U87MG	trametinib	10	replicate_2
plate8_E1	8	U87MG	trametinib	1	replicate_2
plate8_F1	8	U87MG	trametinib	1	replicate_2
plate8_G1	8	U87MG	trametinib	1	replicate_2
plate8_H1	8	U87MG	vehicle	0	replicate_2
plate8_A2	8	U87MG	trametinib	10	replicate_2
plate8_B2	8	U87MG	trametinib	10	replicate_2
plate8_C2	8	U87MG	trametinib	10	replicate_2
plate8_D2	8	U87MG	trametinib	10	replicate_2
plate8_E2	8	U87MG	trametinib	1	replicate_2
plate8_F2	8	U87MG	trametinib	1	replicate_2
plate8_G2	8	U87MG	trametinib	1	replicate_2
plate8_H2	8	U87MG	vehicle	0	replicate_2
plate8_A3	8	U87MG	trametinib	10	replicate_2
plate8_B3	8	U87MG	trametinib	10	replicate_2
plate8_C3	8	U87MG	trametinib	10	replicate_2
plate8_D3	8	U87MG	trametinib	10	replicate_2
plate8_E3	8	U87MG	trametinib	1	replicate_2
plate8_F3	8	U87MG	trametinib	1	replicate_2
plate8_G3	8	U87MG	trametinib	1	replicate_2
plate8_H3	8	U87MG	vehicle	0	replicate_2
plate8_A4	8	U87MG	trametinib	10	replicate_2
plate8_B4	8	U87MG	trametinib	10	replicate_2
plate8_C4	8	U87MG	trametinib	10	replicate_2
plate8_D4	8	U87MG	trametinib	10	replicate_2
plate8_E4	8	U87MG	trametinib	1	replicate_2
plate8_F4	8	U87MG	trametinib	1	replicate_2
plate8_G4	8	U87MG	trametinib	1	replicate_2
plate8_H4	8	U87MG	vehicle	0	replicate_2
plate8_A5	8	U87MG	trametinib	10	replicate_2
plate8_B5	8	U87MG	trametinib	10	replicate_2
plate8_C5	8	U87MG	trametinib	10	replicate_2
plate8_D5	8	U87MG	trametinib	10	replicate_2
plate8_E5	8	U87MG	trametinib	1	replicate_2
plate8_F5	8	U87MG	trametinib	1	replicate_2
plate8_G5	8	U87MG	trametinib	1	replicate_2
plate8_H5	8	U87MG	vehicle	0	replicate_2
plate8_A6	8	U87MG	trametinib	10	replicate_2
plate8_B6	8	U87MG	trametinib	10	replicate_2
plate8_C6	8	U87MG	trametinib	10	replicate_2
plate8_D6	8	U87MG	trametinib	10	replicate_2
plate8_E6	8	U87MG	trametinib	1	replicate_2
plate8_F6	8	U87MG	trametinib	1	replicate_2
plate8_G6	8	U87MG	trametinib	1	replicate_2
plate8_H6	8	U87MG	vehicle	0	replicate_2
plate8_A7	8	U87MG	trametinib	10	replicate_2
plate8_B7	8	U87MG	trametinib	10	replicate_2
plate8_C7	8	U87MG	trametinib	10	replicate_2
plate8_D7	8	U87MG	trametinib	10	replicate_2
plate8_E7	8	U87MG	trametinib	1	replicate_2
plate8_F7	8	U87MG	trametinib	1	replicate_2
plate8_G7	8	U87MG	trametinib	1	replicate_2
plate8_H7	8	U87MG	vehicle	0	replicate_2
plate8_A8	8	U87MG	trametinib	10	replicate_2
plate8_B8	8	U87MG	trametinib	10	replicate_2
plate8_C8	8	U87MG	trametinib	10	replicate_2
plate8_D8	8	U87MG	trametinib	10	replicate_2
plate8_E8	8	U87MG	trametinib	1	replicate_2
plate8_F8	8	U87MG	trametinib	1	replicate_2
plate8_G8	8	U87MG	trametinib	1	replicate_2
plate8_H8	8	U87MG	vehicle	0	replicate_2
plate8_A9	8	U87MG	trametinib	10	replicate_2
plate8_B9	8	U87MG	trametinib	10	replicate_2
plate8_C9	8	U87MG	trametinib	10	replicate_2
plate8_D9	8	U87MG	trametinib	10	replicate_2
plate8_E9	8	U87MG	trametinib	1	replicate_2
plate8_F9	8	U87MG	trametinib	1	replicate_2
plate8_G9	8	U87MG	trametinib	1	replicate_2
plate8_H9	8	U87MG	vehicle	0	replicate_2
plate8_A10	8	U87MG	trametinib	10	replicate_2
plate8_B10	8	U87MG	trametinib	10	replicate_2
plate8_C10	8	U87MG	trametinib	10	replicate_2
plate8_D10	8	U87MG	trametinib	10	replicate_2
plate8_E10	8	U87MG	trametinib	1	replicate_2
plate8_F10	8	U87MG	trametinib	1	replicate_2
plate8_G10	8	U87MG	trametinib	1	replicate_2
plate8_H10	8	U87MG	vehicle	0	replicate_2
plate8_A11	8	U87MG	trametinib	10	replicate_2
plate8_B11	8	U87MG	trametinib	10	replicate_2
plate8_C11	8	U87MG	trametinib	10	replicate_2
plate8_D11	8	U87MG	trametinib	10	replicate_2
plate8_E11	8	U87MG	trametinib	1	replicate_2
plate8_F11	8	U87MG	trametinib	1	replicate_2
plate8_G11	8	U87MG	trametinib	1	replicate_2
plate8_H11	8	U87MG	vehicle	0	replicate_2
plate8_A12	8	U87MG	trametinib	10	replicate_2
plate8_B12	8	U87MG	trametinib	10	replicate_2
plate8_C12	8	U87MG	trametinib	10	replicate_2
plate8_D12	8	U87MG	trametinib	10	replicate_2
plate8_E12	8	U87MG	trametinib	1	replicate_2
plate8_F12	8	U87MG	trametinib	1	replicate_2
plate8_G12	8	U87MG	trametinib	1	replicate_2
plate8_H12	8	U87MG	vehicle	0	replicate_2
plate9_A1	9	U87MG	zstk474	10	replicate_2
plate9_B1	9	U87MG	zstk474	10	replicate_2
plate9_C1	9	U87MG	zstk474	10	replicate_2
plate9_D1	9	U87MG	zstk474	10	replicate_2
plate9_E1	9	U87MG	zstk474	1	replicate_2
plate9_F1	9	U87MG	zstk474	1	replicate_2
plate9_G1	9	U87MG	zstk474	1	replicate_2
plate9_H1	9	U87MG	vehicle	0	replicate_2
plate9_A2	9	U87MG	zstk474	10	replicate_2
plate9_B2	9	U87MG	zstk474	10	replicate_2
plate9_C2	9	U87MG	zstk474	10	replicate_2
plate9_D2	9	U87MG	zstk474	10	replicate_2
plate9_E2	9	U87MG	zstk474	1	replicate_2
plate9_F2	9	U87MG	zstk474	1	replicate_2
plate9_G2	9	U87MG	zstk474	1	replicate_2
plate9_H2	9	U87MG	vehicle	0	replicate_2
plate9_A3	9	U87MG	zstk474	10	replicate_2
plate9_B3	9	U87MG	zstk474	10	replicate_2
plate9_C3	9	U87MG	zstk474	10	replicate_2
plate9_D3	9	U87MG	zstk474	10	replicate_2
plate9_E3	9	U87MG	zstk474	1	replicate_2
plate9_F3	9	U87MG	zstk474	1	replicate_2
plate9_G3	9	U87MG	zstk474	1	replicate_2
plate9_H3	9	U87MG	vehicle	0	replicate_2
plate9_A4	9	U87MG	zstk474	10	replicate_2
plate9_B4	9	U87MG	zstk474	10	replicate_2
plate9_C4	9	U87MG	zstk474	10	replicate_2
plate9_D4	9	U87MG	zstk474	10	replicate_2
plate9_E4	9	U87MG	zstk474	1	replicate_2
plate9_F4	9	U87MG	zstk474	1	replicate_2
plate9_G4	9	U87MG	zstk474	1	replicate_2
plate9_H4	9	U87MG	vehicle	0	replicate_2
plate9_A5	9	U87MG	zstk474	10	replicate_2
plate9_B5	9	U87MG	zstk474	10	replicate_2
plate9_C5	9	U87MG	zstk474	10	replicate_2
plate9_D5	9	U87MG	zstk474	10	replicate_2
plate9_E5	9	U87MG	zstk474	1	replicate_2
plate9_F5	9	U87MG	zstk474	1	replicate_2
plate9_G5	9	U87MG	zstk474	1	replicate_2
plate9_H5	9	U87MG	vehicle	0	replicate_2
plate9_A6	9	U87MG	zstk474	10	replicate_2
plate9_B6	9	U87MG	zstk474	10	replicate_2
plate9_C6	9	U87MG	zstk474	10	replicate_2
plate9_D6	9	U87MG	zstk474	10	replicate_2
plate9_E6	9	U87MG	zstk474	1	replicate_2
plate9_F6	9	U87MG	zstk474	1	replicate_2
plate9_G6	9	U87MG	zstk474	1	replicate_2
plate9_H6	9	U87MG	vehicle	0	replicate_2
plate9_A7	9	U87MG	zstk474	10	replicate_2
plate9_B7	9	U87MG	zstk474	10	replicate_2
plate9_C7	9	U87MG	zstk474	10	replicate_2
plate9_D7	9	U87MG	zstk474	10	replicate_2
plate9_E7	9	U87MG	zstk474	1	replicate_2
plate9_F7	9	U87MG	zstk474	1	replicate_2
plate9_G7	9	U87MG	zstk474	1	replicate_2
plate9_H7	9	U87MG	vehicle	0	replicate_2
plate9_A8	9	U87MG	zstk474	10	replicate_2
plate9_B8	9	U87MG	zstk474	10	replicate_2
plate9_C8	9	U87MG	zstk474	10	replicate_2
plate9_D8	9	U87MG	zstk474	10	replicate_2
plate9_E8	9	U87MG	zstk474	1	replicate_2
plate9_F8	9	U87MG	zstk474	1	replicate_2
plate9_G8	9	U87MG	zstk474	1	replicate_2
plate9_H8	9	U87MG	vehicle	0	replicate_2
plate9_A9	9	U87MG	zstk474	10	replicate_2
plate9_B9	9	U87MG	zstk474	10	replicate_2
plate9_C9	9	U87MG	zstk474	10	replicate_2
plate9_D9	9	U87MG	zstk474	10	replicate_2
plate9_E9	9	U87MG	zstk474	1	replicate_2
plate9_F9	9	U87MG	zstk474	1	replicate_2
plate9_G9	9	U87MG	zstk474	1	replicate_2
plate9_H9	9	U87MG	vehicle	0	replicate_2
plate9_A10	9	U87MG	zstk474	10	replicate_2
plate9_B10	9	U87MG	zstk474	10	replicate_2
plate9_C10	9	U87MG	zstk474	10	replicate_2
plate9_D10	9	U87MG	zstk474	10	replicate_2
plate9_E10	9	U87MG	zstk474	1	replicate_2
plate9_F10	9	U87MG	zstk474	1	replicate_2
plate9_G10	9	U87MG	zstk474	1	replicate_2
plate9_H10	9	U87MG	vehicle	0	replicate_2
plate9_A11	9	U87MG	zstk474	10	replicate_2
plate9_B11	9	U87MG	zstk474	10	replicate_2
plate9_C11	9	U87MG	zstk474	10	replicate_2
plate9_D11	9	U87MG	zstk474	10	replicate_2
plate9_E11	9	U87MG	zstk474	1	replicate_2
plate9_F11	9	U87MG	zstk474	1	replicate_2
plate9_G11	9	U87MG	zstk474	1	replicate_2
plate9_H11	9	U87MG	vehicle	0	replicate_2
plate9_A12	9	U87MG	zstk474	10	replicate_2
plate9_B12	9	U87MG	zstk474	10	replicate_2
plate9_C12	9	U87MG	zstk474	10	replicate_2
plate9_D12	9	U87MG	zstk474	10	replicate_2
plate9_E12	9	U87MG	zstk474	1	replicate_2
plate9_F12	9	U87MG	zstk474	1	replicate_2
plate9_G12	9	U87MG	zstk474	1	replicate_2
plate9_H12	9	U87MG	vehicle	0	replicate_2
